Postcode,S1,RBD
G1,0.6666666666666666,0.3333333333333333
G2,1.0,1.0
G3,0.5454545454545454,0.36363636363636365
G4,0.8333333333333334,0.6666666666666666
G5,0.2857142857142857,0.42857142857142855
G9,NaN,NaN
G11,0.37209302325581395,0.2558139534883721
G12,0.28,0.34
G13,0.3888888888888889,0.3194444444444444
G14,0.30952380952380953,0.2857142857142857
G15,0.26666666666666666,0.26666666666666666
G20,0.2727272727272727,0.22727272727272727
G21,0.2727272727272727,0.09090909090909091
G22,0.2,0.0
G23,0.6,0.6
G31,0.0,0.0
G32,0.6,0.4
G33,0.10526315789473684,0.10526315789473684
G34,NaN,NaN
G40,0.4,0.6
G41,0.4057971014492754,0.2463768115942029
G42,0.3333333333333333,0.2807017543859649
G43,0.23255813953488372,0.20930232558139536
G44,0.24528301886792453,0.2641509433962264
G45,0.275,0.2
G46,0.30612244897959184,0.20408163265306123
G51,0.17307692307692307,0.21153846153846154
G52,0.31343283582089554,0.208955223880597
G53,0.27631578947368424,0.2631578947368421
G58,NaN,NaN
G60,0.5,0.5
G61,0.3442622950819672,0.29508196721311475
G62,0.27586206896551724,0.2413793103448276
G63,0.0,0.5
G64,0.2,0.2
G65,0.5,0.3333333333333333
G66,0.21428571428571427,0.21428571428571427
G67,0.5,0.5
G68,0.0,0.0
G69,0.25,0.125
G70,NaN,NaN
G71,0.0,0.5
G72,0.375,0.5
G73,0.2962962962962963,0.18518518518518517
G74,0.25,0.0
G75,0.0,0.0
G77,0.3793103448275862,0.3275862068965517
G78,0.0,0.0
G79,NaN,NaN
G81,0.2727272727272727,0.23376623376623376
G82,0.3333333333333333,0.5
G83,0.0,0.0
G84,0.3333333333333333,0.0
G90,NaN,NaN
