Postcode,S1,RBD
G1,0.5,0.5
G2,0.5,0.5
G3,0.34782608695652173,0.30434782608695654
G4,0.14285714285714285,0.42857142857142855
G5,0.25,0.25
G9,NaN,NaN
G11,0.24528301886792453,0.24528301886792453
G12,0.2608695652173913,0.2826086956521739
G13,0.26956521739130435,0.26956521739130435
G14,0.3541666666666667,0.2916666666666667
G15,0.25862068965517243,0.25862068965517243
G20,0.46153846153846156,0.38461538461538464
G21,0.23076923076923078,0.23076923076923078
G22,0.42857142857142855,0.21428571428571427
G23,0.6,0.2
G31,0.5,0.3333333333333333
G32,0.2727272727272727,0.36363636363636365
G33,0.3333333333333333,0.3333333333333333
G34,NaN,NaN
G40,0.25,0.25
G41,0.2553191489361702,0.2553191489361702
G42,0.2604166666666667,0.20833333333333334
G43,0.19607843137254902,0.3333333333333333
G44,0.21052631578947367,0.23684210526315788
G45,0.36363636363636365,0.29545454545454547
G46,0.2716049382716049,0.2839506172839506
G51,0.24050632911392406,0.21518987341772153
G52,0.3173076923076923,0.3269230769230769
G53,0.38461538461538464,0.3173076923076923
G58,NaN,NaN
G60,0.1111111111111111,0.2222222222222222
G61,0.26865671641791045,0.22388059701492538
G62,0.15789473684210525,0.13157894736842105
G63,0.0,0.0
G64,0.1111111111111111,0.1111111111111111
G65,1.0,1.0
G66,0.14285714285714285,0.2857142857142857
G67,0.0,0.0
G68,NaN,NaN
G69,0.16666666666666666,0.16666666666666666
G70,NaN,NaN
G71,1.0,1.0
G72,0.25,0.35
G73,0.27941176470588236,0.22058823529411764
G74,0.14285714285714285,0.0
G75,0.16666666666666666,0.16666666666666666
G77,0.28169014084507044,0.2676056338028169
G78,0.0,0.1111111111111111
G79,NaN,NaN
G81,0.24242424242424243,0.25
G82,0.125,0.125
G83,0.2,0.3
G84,0.0,0.0
G90,NaN,NaN
