Postcode,S1,RBD
G1,NaN,NaN
G2,0.3333333333333333,0.0
G3,0.30434782608695654,0.13043478260869565
G4,0.25,0.375
G5,0.15384615384615385,0.46153846153846156
G9,NaN,NaN
G11,0.3611111111111111,0.2222222222222222
G12,0.2727272727272727,0.18181818181818182
G13,0.3269230769230769,0.28846153846153844
G14,0.3448275862068966,0.2413793103448276
G15,0.22580645161290322,0.22580645161290322
G20,0.3,0.36666666666666664
G21,0.21428571428571427,0.2857142857142857
G22,0.2222222222222222,0.3333333333333333
G23,0.6,0.6
G31,0.125,0.25
G32,0.3333333333333333,0.19047619047619047
G33,0.17647058823529413,0.29411764705882354
G34,0.3333333333333333,0.16666666666666666
G40,0.375,0.375
G41,0.29508196721311475,0.32786885245901637
G42,0.48936170212765956,0.3829787234042553
G43,0.22580645161290322,0.16129032258064516
G44,0.2916666666666667,0.3125
G45,0.3448275862068966,0.41379310344827586
G46,0.3333333333333333,0.21568627450980393
G51,0.40625,0.40625
G52,0.22580645161290322,0.16129032258064516
G53,0.30120481927710846,0.3132530120481928
G58,NaN,NaN
G60,0.4444444444444444,0.4444444444444444
G61,0.2807017543859649,0.21052631578947367
G62,0.3103448275862069,0.2413793103448276
G63,NaN,NaN
G64,0.3333333333333333,0.3333333333333333
G65,0.0,0.0
G66,0.15789473684210525,0.21052631578947367
G67,NaN,NaN
G68,NaN,NaN
G69,0.07692307692307693,0.23076923076923078
G70,NaN,NaN
G71,0.0,0.0
G72,0.3333333333333333,0.2222222222222222
G73,0.3,0.275
G74,0.25,0.0
G75,1.0,0.0
G77,0.2641509433962264,0.1509433962264151
G78,0.16666666666666666,0.0
G79,NaN,NaN
G81,0.3055555555555556,0.3194444444444444
G82,0.2857142857142857,0.2857142857142857
G83,0.0,0.0
G84,0.0,0.0
G90,NaN,NaN
