Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G61 3DX,Yes,55.923104,-4.317797,255266,672430,NS552724,"Bearsden North","",2000-12-01,,44,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008053,"Kilmardinny East - 04"
G61 3DY,Yes,55.921216,-4.319733,255138,672224,NS551722,"Bearsden North","",1980-01-01,,48,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008053,"Kilmardinny East - 04"
G61 3DZ,Yes,55.922652,-4.31889,255196,672382,NS551723,"Bearsden North","",1980-01-01,,50,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008053,"Kilmardinny East - 04"
G61 3EA,Yes,55.921512,-4.318326,255227,672254,NS552722,"Bearsden North","",1980-01-01,,46,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008078,"Kessington West - 03"
G61 3EB,No,55.920537,-4.320461,255090,672150,NS550721,"Bearsden North","",1980-01-01,2000-07-01,45,Scotland,2021-11-12,"Within the building of the matched address by visual inspection of Landline maps",S01008053,"Kilmardinny East - 04"
G61 3ED,Yes,55.930828,-4.314865,255478,673283,NS554732,"Bearsden North","",2017-05-01,,41,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EE,Yes,55.930067,-4.315636,255427,673200,NS554732,"Bearsden North","",2017-05-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EF,Yes,55.931214,-4.315849,255418,673328,NS554733,"Bearsden North","",2017-03-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EG,Yes,55.93146,-4.313734,255551,673351,NS555733,"Bearsden North","",2017-06-01,,41,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EH,Yes,55.927349,-4.312048,255641,672890,NS556728,"Bearsden North","",2019-03-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EJ,Yes,55.928434,-4.314066,255519,673015,NS555730,"Bearsden North","",2019-03-01,,45,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EL,Yes,55.928213,-4.314837,255470,672992,NS554729,"Bearsden North","",2019-03-01,,47,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EN,Yes,55.930604,-4.310962,255721,673250,NS557732,"Bearsden North","",2018-09-01,,40,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EP,Yes,55.930248,-4.316895,255349,673223,NS553732,"Bearsden North","",1980-01-01,,52,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3EQ,Yes,55.929663,-4.31177,255667,673147,NS556731,"Bearsden North","",2018-04-01,,39,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3ER,Yes,55.929107,-4.316859,255347,673096,NS553730,"Bearsden North","",1980-01-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3ES,Yes,55.929734,-4.316976,255342,673166,NS553731,"Bearsden North","",1980-01-01,,53,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3ET,Yes,55.928221,-4.316678,255355,672997,NS553729,"Bearsden North","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EU,Yes,55.928846,-4.319757,255165,673073,NS551730,"Bearsden North","",1980-01-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3EW,Yes,55.929925,-4.310745,255732,673174,NS557731,"Bearsden North","",2019-11-01,,38,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3EX,Yes,55.929283,-4.319415,255188,673121,NS551731,"Bearsden North","",1980-01-01,,63,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3EY,Yes,55.929208,-4.322133,255018,673118,NS550731,"Bearsden North","",1980-01-01,,66,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3EZ,Yes,55.929009,-4.323497,254932,673099,NS549730,"Bearsden North","",1980-01-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
