Column1
G21
G33
G61
G62
G64
G65
G66
G68
G69
G81
G43
G44
G46
G53
G76
G77
G78
G1 
G11
G12
G13
G14
G15
G2 
G20
G22
G23
G3 
G31
G32
G34
G4 
G40
G41
G42
G45
G5 
G51
G52
G58
G71
G72
G73
G80
G9 
G90
PA1
PA2
PA3
PA4
PA5
PA6
PA7
PA8
PA9
G60
G63
G82
G83
